team,wl,anet,aortg,adrtg,sos,osos,dsos,pace,opl,dpl,date
OKC,21-48,-10.330,103.230,113.522,0.51,0.19,0.41,101.37,14.312,14.12,2021-05-10
GSW,36-33,0.715,110.423,109.75,0.010,-0.124,0.15,102.52,13.63,14.516,2021-05-10
LAC,45-23,6.12,117.14,111.09,-0.115,-0.021,-0.016,97.427,15.026,14.618,2021-05-10
PHI,47-21,5.63,113.113,107.52,-0.014,-0.020,-0.015,99.812,14.716,14.11,2021-05-10
PHX,48-20,5.64,116.67,111.08,-0.122,0.18,-0.327,97.426,14.822,14.727,2021-05-10
MIL,43-25,5.15,116.86,111.710,-0.329,-0.022,-0.328,102.33,13.62,14.619,2021-05-10
DEN,44-24,5.06,117.13,112.112,-0.012,0.24,-0.223,97.328,15.128,14.515,2021-05-10
BKN,44-24,3.67,117.71,114.126,-0.120,0.25,-0.226,100.011,14.29,14.623,2021-05-10
LAL,38-30,2.98,109.924,107.01,-0.118,-0.330,0.24,98.421,14.821,14.412,2021-05-10
DAL,40-28,2.79,115.08,112.314,0.16,0.111,0.19,97.425,15.129,14.49,2021-05-10
NYK,38-30,2.110,110.621,108.54,-0.227,-0.229,-0.012,96.230,15.230,14.725,2021-05-10
ATL,38-31,1.811,114.89,113.020,0.15,0.16,-0.013,98.222,14.718,14.620,2021-05-10
BOS,35-33,1.312,113.810,112.517,-0.119,-0.019,-0.120,98.620,14.820,14.513,2021-05-10
POR,40-29,1.113,117.52,116.429,-0.430,0.114,-0.430,98.718,14.925,14.36,2021-05-10
MEM,35-33,1.014,111.916,110.96,0.17,0.017,0.16,100.58,14.05,14.621,2021-05-10
NOP,31-38,0.116,113.812,113.623,-0.116,0.113,-0.121,100.110,14.16,14.726,2021-05-10
TOR,27-41,0.117,112.414,112.416,-0.225,0.015,-0.225,99.214,14.311,14.828,2021-05-10
IND,32-36,-0.318,111.915,112.213,-0.226,-0.127,-0.119,101.74,13.84,14.517,2021-05-10
MIA,37-31,-0.519,110.522,110.97,-0.224,-0.126,-0.117,96.729,14.717,15.130,2021-05-10
SAS,33-35,-0.920,111.119,112.011,-0.121,-0.228,0.17,98.916,14.715,14.410,2021-05-10
CHI,29-39,-1.221,111.217,112.415,-0.223,0.22,-0.429,99.313,14.614,14.411,2021-05-10
CHA,33-35,-1.822,110.820,112.618,-0.328,-0.023,-0.224,98.619,14.413,14.829,2021-05-10
WAS,32-37,-2.023,111.218,113.221,-0.011,0.112,-0.118,104.21,13.51,14.23,2021-05-10
SAC,30-38,-3.424,113.811,117.230,0.33,0.21,0.18,100.39,14.17,14.624,2021-05-10
DET,20-49,-4.125,108.626,112.619,0.09,0.23,-0.122,97.823,14.823,14.622,2021-05-10
MIN,21-47,-5.226,109.725,114.928,0.42,0.17,0.32,101.55,14.28,14.24,2021-05-10
HOU,16-53,-7.127,107.327,114.327,0.34,0.016,0.33,101.36,14.210,14.25,2021-05-10
CLE,21-48,-8.228,105.828,114.024,0.18,0.110,0.010,97.524,15.127,14.514,2021-05-10
ORL,21-47,-8.929,105.229,114.025,-0.117,-0.125,-0.011,98.717,14.924,14.38,2021-05-10
UTA,50-19,8.91,117.15,108.23,-0.013,-0.018,-0.014,99.115,14.719,14.37,2021-05-10
GSW,35-33,0.515,110.223,109.75,-0.116,-0.125,0.08,102.52,13.63,14.517,2021-05-09
OKC,21-48,-10.33,103.23,113.522,0.51,0.111,0.41,101.37,14.312,14.12,2021-05-09
TOR,27-41,0.117,112.514,112.416,-0.226,0.017,-0.225,99.214,14.311,14.828,2021-05-09
NOP,31-37,0.216,113.812,113.623,-0.119,0.016,-0.121,100.11,14.17,14.726,2021-05-09
PHI,47-21,5.63,113.113,107.52,-0.012,-0.019,-0.016,99.812,14.716,14.11,2021-05-09
PHX,48-20,5.64,116.57,111.08,-0.122,0.18,-0.227,97.426,14.822,14.727,2021-05-09
MIL,43-24,5.55,116.76,111.21,-0.33,-0.123,-0.328,102.33,13.62,14.619,2021-05-09
DEN,44-24,5.06,117.13,112.112,-0.01,0.24,-0.223,97.328,15.128,14.515,2021-05-09
BKN,44-24,3.67,117.71,114.126,-0.115,0.26,-0.226,100.011,14.29,14.622,2021-05-09
LAL,38-30,2.98,109.924,107.01,-0.12,-0.33,0.23,98.421,14.821,14.411,2021-05-09
DAL,40-28,2.79,115.08,112.314,0.16,0.114,0.07,97.425,15.129,14.49,2021-05-09
NYK,38-30,2.11,110.621,108.54,-0.227,-0.229,-0.015,96.23,15.23,14.725,2021-05-09
ATL,37-31,1.911,114.89,113.02,0.25,0.25,0.012,98.122,14.82,14.62,2021-05-09
BOS,35-33,1.312,113.81,112.517,-0.118,-0.018,-0.119,98.619,14.819,14.512,2021-05-09
POR,39-29,1.113,117.32,116.229,-0.328,0.19,-0.43,98.52,14.925,14.36,2021-05-09
MEM,34-33,1.014,111.916,110.96,0.18,0.015,0.16,100.68,14.05,14.623,2021-05-09
LAC,45-23,6.12,117.14,111.09,-0.114,-0.02,-0.017,97.427,15.026,14.618,2021-05-09
IND,31-36,-0.318,111.915,112.213,-0.121,-0.126,0.011,101.74,13.84,14.516,2021-05-09
MIA,37-31,-0.519,110.422,110.97,-0.225,-0.127,-0.118,96.729,14.717,15.13,2021-05-09
CHI,29-39,-1.22,111.217,112.415,-0.224,0.22,-0.429,99.313,14.614,14.41,2021-05-09
SAS,32-35,-1.321,110.62,111.911,-0.223,-0.228,0.01,98.816,14.715,14.513,2021-05-09
CHA,33-35,-1.822,110.819,112.618,-0.329,-0.021,-0.224,98.618,14.413,14.829,2021-05-09
WAS,32-36,-2.123,111.118,113.221,-0.011,0.113,-0.12,104.11,13.51,14.23,2021-05-09
SAC,30-38,-3.424,113.811,117.23,0.33,0.21,0.15,100.39,14.16,14.624,2021-05-09
DET,20-49,-4.125,108.626,112.619,0.19,0.23,-0.122,97.823,14.823,14.621,2021-05-09
MIN,21-47,-5.226,109.725,114.928,0.42,0.17,0.32,101.55,14.28,14.24,2021-05-09
HOU,16-52,-7.127,107.127,114.127,0.34,0.11,0.24,101.36,14.21,14.25,2021-05-09
CLE,21-47,-8.228,105.828,114.024,0.17,0.112,0.09,97.524,15.127,14.514,2021-05-09
ORL,21-47,-8.929,105.229,114.025,-0.117,-0.124,0.013,98.717,14.924,14.38,2021-05-09
UTA,50-18,9.01,117.15,108.03,-0.113,-0.122,-0.014,99.115,14.818,14.37,2021-05-09
IND,31-36,-0.3,111.9,112.2,-0.1,-0.1,0.0,101.7,13.8,14.5,2021-05-08
UTA,50-18,9.0,117.1,108.0,-0.1,-0.0,-0.0,99.1,14.8,14.3,2021-05-08
MIA,36-31,-0.6,110.2,110.7,-0.2,-0.1,-0.1,96.7,14.7,15.1,2021-05-08
LAC,45-22,6.2,117.3,111.0,-0.1,-0.1,-0.0,97.4,15.0,14.5,2021-05-08
CHI,28-39,-1.3,111.1,112.5,-0.1,0.2,-0.3,99.3,14.6,14.4,2021-05-08
SAS,32-35,-1.3,110.6,111.9,-0.2,-0.2,0.0,98.8,14.7,14.5,2021-05-08
DEN,44-24,5.0,117.1,112.1,-0.0,0.2,-0.2,97.3,15.1,14.5,2021-05-08
BKN,44-24,3.7,117.7,114.1,-0.1,0.2,-0.2,100.0,14.2,14.6,2021-05-08
LAL,37-30,2.6,109.6,107.0,-0.2,-0.3,0.2,98.4,14.8,14.4,2021-05-08
DAL,39-28,2.5,114.9,112.4,0.2,0.1,0.1,97.4,15.2,14.4,2021-05-08
NYK,37-30,2.0,110.6,108.6,-0.3,-0.2,-0.1,96.2,15.2,14.7,2021-05-08
ATL,37-31,1.9,114.8,113.0,0.2,0.2,-0.0,98.1,14.8,14.6,2021-05-08
BOS,35-32,1.4,113.7,112.2,-0.1,-0.0,-0.0,98.6,14.8,14.4,2021-05-08
POR,39-29,1.1,117.3,116.2,-0.3,0.1,-0.4,98.5,14.9,14.3,2021-05-08
MEM,34-33,1.0,111.9,110.9,0.1,0.1,0.1,100.6,14.0,14.6,2021-05-08
GSW,35-33,0.5,110.2,109.7,-0.1,-0.1,0.0,102.5,13.6,14.5,2021-05-08
NOP,30-37,0.1,113.9,113.7,-0.1,0.0,-0.1,100.1,14.1,14.7,2021-05-08
TOR,27-41,0.1,112.5,112.4,-0.2,0.0,-0.2,99.2,14.3,14.8,2021-05-08
PHI,47-21,5.6,113.1,107.5,-0.0,-0.0,-0.0,99.8,14.7,14.1,2021-05-08
MIL,43-24,5.5,116.7,111.2,-0.3,-0.0,-0.3,102.3,13.6,14.6,2021-05-08
CHA,33-34,-1.7,110.9,112.7,-0.3,0.0,-0.3,98.6,14.4,14.8,2021-05-08
WAS,32-36,-2.1,111.1,113.2,-0.0,0.1,-0.1,104.1,13.5,14.2,2021-05-08
SAC,29-38,-3.7,113.6,117.3,0.5,0.3,0.2,100.3,14.0,14.7,2021-05-08
DET,20-48,-3.9,108.7,112.5,0.1,0.2,-0.1,97.8,14.8,14.6,2021-05-08
MIN,20-47,-5.6,109.5,115.0,0.5,0.2,0.4,101.5,14.2,14.2,2021-05-08
HOU,16-52,-7.1,107.1,114.1,0.3,0.1,0.2,101.3,14.2,14.2,2021-05-08
CLE,21-46,-7.9,105.9,113.8,0.1,0.1,-0.0,97.5,15.1,14.5,2021-05-08
ORL,21-46,-8.5,105.3,113.8,-0.0,-0.0,0.0,98.6,14.9,14.3,2021-05-08
OKC,21-47,-10.0,103.3,113.3,0.5,0.2,0.3,101.3,14.3,14.1,2021-05-08
PHX,48-19,5.8,116.5,110.7,-0.2,0.0,-0.2,97.4,14.8,14.7,2021-05-08
POR,38-29,0.7,117.2,116.5,-0.3,0.1,-0.4,98.5,14.9,14.3,2021-05-07
NOP,30-37,0.1,113.9,113.7,-0.1,0.0,-0.1,100.1,14.1,14.7,2021-05-07
CLE,21-46,-7.9,105.9,113.8,0.1,0.1,-0.0,97.5,15.1,14.5,2021-05-07
