team_abbrev,lineup,player
ATL,1,Clint Capela
BKN,1,DeAndre Jordan
BOS,1,Daniel Theis
CHA,1,Bismack Biyombo
CHI,1,Lauri Markkanen
CLE,1,Jarrett Allen
DAL,1,Kristaps Porzingis
DEN,1,Nikola Jokic
DET,1,Mason Plumlee
GSW,1,Kevon Looney
HOU,1,Christian Wood
IND,1,Myles Turner
LAC,1,Ivica Zubac
LAL,1,Markieff Morris
MEM,1,Jonas Valanciunas
MIA,1,Bam Adebayo
MIL,1,Brook Lopez
MIN,1,Karl-Anthony Towns
NOP,1,Steven Adams
NYK,1,Nerlens Noel
OKC,1,Moses Brown
ORL,1,Nikola Vucevic
PHI,1,Tony Bradley
PHX,1,Deandre Ayton
POR,1,Enes Kanter
SAC,1,Richaun Holmes
SAS,1,Jakob Poeltl
TOR,1,Pascal Siakam
UTA,1,Rudy Gobert
WAS,1,Alex Len
