,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0,0021900817,1610612747,LAL,Los Angeles,2544,LeBron James,F,,41:30,15.0,29.0,0.517,1.0,7.0,0.143,1.0,4.0,0.25,1.0,11.0,12.0,14.0,0.0,0.0,3.0,3.0,32.0,4.0
1,0021900817,1610612747,LAL,Los Angeles,203076,Anthony Davis,F,,41:56,12.0,23.0,0.522,3.0,6.0,0.5,6.0,9.0,0.667,1.0,9.0,10.0,2.0,2.0,2.0,2.0,2.0,33.0,5.0
2,0021900817,1610612747,LAL,Los Angeles,201580,JaVale McGee,C,,12:32,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,3.0,4.0,0.0
3,0021900817,1610612747,LAL,Los Angeles,201980,Danny Green,G,,20:40,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,-7.0
4,0021900817,1610612747,LAL,Los Angeles,202340,Avery Bradley,G,,31:14,4.0,8.0,0.5,2.0,5.0,0.4,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,10.0,-6.0
5,0021900817,1610612747,LAL,Los Angeles,1628398,Kyle Kuzma,,,16:25,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,3.0,-11.0
6,0021900817,1610612747,LAL,Los Angeles,200765,Rajon Rondo,,,14:29,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,-5.0
7,0021900817,1610612747,LAL,Los Angeles,203484,Kentavious Caldwell-Pope,,,33:49,3.0,9.0,0.333,3.0,7.0,0.429,0.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,0.0,0.0,2.0,9.0,10.0
8,0021900817,1610612747,LAL,Los Angeles,2730,Dwight Howard,,,29:57,4.0,6.0,0.667,0.0,0.0,0.0,6.0,12.0,0.5,5.0,6.0,11.0,2.0,0.0,0.0,4.0,4.0,14.0,7.0
9,0021900817,1610612747,LAL,Los Angeles,1627936,Alex Caruso,,,22:28,4.0,7.0,0.571,1.0,2.0,0.5,1.0,2.0,0.5,0.0,6.0,6.0,4.0,1.0,1.0,1.0,0.0,10.0,23.0
10,0021900817,1610612747,LAL,Los Angeles,1626188,Quinn Cook,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
